#Sample,Species,Chinese,Coverage,CovRate,Depth,Abs_Abu,Re_Abu,Genus,GenusCh,Genus_Abs_Abu,Genus_Re_Abu,MRN,SMRN,SMRNG,SDCOV,SDdepth,SDMRN,SDSMRN,SDSMRNG,ID
17S0585608,Human_herpesvirus_5,人类疱疹病毒5型(CMV),100489/235646,43,1.4,4757.1357,42.98,-,-,-,-,1121,1103,-,29.5813,1,771,759,-,id|00316614|ref|VIR_0573832|
17S0585608,Torque_teno_virus_19,细环病毒19型,1010/3808,27,1.2,2363.4454,21.35,-,-,-,-,9,9,-,18.5743,1,6,6,-,id|05646779|ref|VIR_0440605|
17S0585608,KI_polyomavirus,KI多瘤病毒,651/5040,13,1,992.0635,8.96,-,-,-,-,5,5,-,8.9432,1,3,3,-,id|04684755|ref|VIR_0433215|
17S0585608,Human_adenovirus_C,人类腺病毒C型,156/35937,0.43,1,27.8265,0.25,-,-,-,-,1,1,-,0.2958,1,1,1,-,id|03134970|ref|VIR_0558904|
17S0585608,Torque_teno_virus_15,细环病毒15型,144/3787,3.8,1,264.0613,2.39,-,-,-,-,1,1,-,2.6142,1,1,1,-,id|06932116|ref|VIR_0644025|
17S0585608,Panine_herpesvirus_2,黑猩猩疱疹病毒2型,122/241087,0.051,1,4.1479,0.04,-,-,-,-,1,0,-,0.0351,1,1,0,-,id|02178471|ref|VIR_0999894|
17S0585608,Torque_teno_virus_12,细环病毒12型,250/3759,6.7,1.4,798.0846,7.21,-,-,-,-,3,0,-,4.6092,1,2,0,-,id|07066854|ref|VIR_0668108|
17S0585608,Torque_teno_virus_16,细环病毒16型,313/3818,8.2,1,523.8345,4.73,-,-,-,-,2,0,-,5.6411,1,1,0,-,id|02679967|ref|VIR_0404317|
17S0585608,Torque_teno_virus_27,细环病毒27型,107/3729,2.9,1,268.1684,2.42,-,-,-,-,1,0,-,1.9950,1,1,0,-,id|02400817|ref|VIR_0657039|
17S0585608,Torque_teno_virus_6,细环病毒6型,141/3705,3.8,1,269.9055,2.44,-,-,-,-,1,0,-,2.6142,1,1,0,-,id|03069674|ref|VIR_0953823|
